1;Aguachile;Aguachile;15.17;9;3;1
2;Bolillos (salty bread);Bolillos (salty bread);16.17;1;3;1
3;Burrito;Burrito;1.26;3;3;1
4;Camote (Mexican sweet potato);Camote (Mexican sweet potato);5.8;7;3;1
5;Cemitas sandwiches;Cemitas sandwiches;9.82;1;3;1
6;Ceviche;Ceviche;15.93;9;3;1
7;Chalupa;Chalupa;4.88;13;3;1
8;Chapulines and escamoles;Chapulines and escamoles;13.19;18;3;1
9;Charales;Charales, small fish, basically a type of smelt;4;13;3;1
10;Chicharrón;Chicharrón;8.32;5;3;1
11;Chilaquiles;Chilaquiles;3.14;1;3;1
12;Chimichangas (Tex-Mex mostly);Chimichangas (Tex-Mex mostly);8.83;1;3;1
13;Choriqueso;Choriqueso;13.38;6;3;1
14;Chorizo;Chorizo;19.43;5;3;1
15;Cochinita pibil;Cochinita pibil;3.88;8;3;1
16;Cocido;Cocido;11.74;11;3;1
17;Cóctel de camarón and other seafood cocktails;Cóctel de camarón and other seafood cocktails;1.4;4;3;1
18;Corunda;Corunda;3.3;7;3;1
19;Curtido;Curtido;13.86;6;3;1
20;Elote;Elote;11.38;16;3;1
21;Enchilada (red or green);Enchilada (red or green);2.91;15;3;1
22;Enfrijoladas;Enfrijoladas;11.14;13;3;1
23;Ensalada de fruta (fruit salad);Ensalada de fruta (fruit salad);14.44;7;3;1
24;Entomatadas;Entomatadas;10.74;9;3;1
25;Fajitas;Fajitas;0.82;3;3;1
26;Filete de pescado;Filete de pescado;12.91;17;3;1
27;Flautas;Flautas;5.16;11;3;1
28;Frijoles charros;Frijoles charros;15.39;19;3;1
29;Fritada;Fritada;5.66;2;3;1
30;Gorditas;Gorditas;8.76;1;3;1
31;Gringas;Gringas;18.99;18;3;1
32;Huauzontles;Huauzontles;11.53;4;3;1
33;Huaraches;Huaraches;16.33;8;3;1
34;Jicama;Jicama;6.08;1;3;1
35;Jocoque;Jocoque;0.61;4;3;1
36;Lengua;Lengua;17.07;12;3;1
37;Lentil soup (lentil beans);Lentil soup (lentil beans);10.9;10;3;1
38;Longaniza;Longaniza;3.35;2;3;1
39;Machaca;Machaca;1.86;6;3;1
40;Mancha manteles;Mancha manteles;11.03;19;3;1
41;Memela;Memela;18.84;19;3;1
42;Menudo;Menudo;3.65;20;3;1
43;Mixiotes;Mixiotes;16.43;9;3;1
44;Mole de olla;Mole de olla;15.06;16;3;1
45;Mole poblano;Mole poblano;5.75;8;3;1
46;Molletes;Molletes;19.55;5;3;1
47;Molotes;Molotes;14.54;17;3;1
48;Moronga;Moronga;12.2;15;3;1
49;Nachos;Nachos;17.62;2;3;1
50;Pambazos;Pambazos;13.4;18;3;1
51;Panucho;Panucho;12.58;2;3;1
52;Papadzules;Papadzules;18.41;12;3;1
53;Parilladas;Parilladas;11.99;14;3;1
54;Pastel azteca;Pastel azteca;19.69;13;3;1
55;Pejelagarto;Pejelagarto;14.87;13;3;1
56;Picadillo;Picadillo;9.42;16;3;1
57;Quesadillas;Quesadillas;5;13;3;1
58;Queso;Queso;7.05;18;3;1
59;Rajas con crema;Rajas con crema;16.93;14;3;1
60;Romeritos;Romeritos;11.23;12;3;1
61;Salbutes;Salbutes;0.58;10;3;1
62;Salsa;Salsa;3.6;1;3;1
63;Sincronizadas;Sincronizadas;9.73;8;3;1
64;Sopes;Sopes;11.47;4;3;1
65;Sopa de albondiga (meatball soup);Sopa de albondiga (meatball soup);17.75;8;3;1
66;Tacos;Tacos;0.15;19;3;1
67;Taco al pastor;Taco al pastor;6.21;12;3;1
68;Tamales;Tamales;16.88;1;3;1
69;Taquitos;Taquitos;6.93;1;3;1
70;Tlacoyos;Tlacoyos;6.22;8;3;1
71;Tlayudas;Tlayudas;0.03;8;3;1
72;Tortas (sandwiches);Tortas (sandwiches);5.66;8;3;1
73;Tortillas;Tortillas;15.31;2;3;1
74;Tostadas;Tostadas;11.2;18;3;1
75;Totopo;Totopo;3.08;10;3;1
76;Tripas;Tripas;15.54;9;3;1
77;Venado (venison), particularly in the Yucatan;Venado (venison), particularly in the Yucatan;14.92;6;3;1
78;Yuca (cassava);Yuca (cassava);15.43;9;3;1
79;Caldo de queso;Caldo de queso;16.85;0;3;2
80;Queso de cuajo;Queso de cuajo;3.12;12;3;2
81;Queso flameado;Queso flameado;16.16;9;3;2
82;Huevos rancheros;Huevos rancheros;8.83;4;3;3
83;Huevos divorciados;Huevos divorciados;8.8;15;3;3
84;Huevos motuleños;Huevos motuleños;4.46;6;3;3
85;Huevos rancheros;Huevos rancheros;19.92;12;3;3
86;Albóndigas, Mexican meatballs.;Albóndigas, Mexican meatballs.;18.31;17;3;4
87;Aporreadillo;Aporreadillo;4.48;19;3;4
88;Bistec;Bistec;0.1;10;3;4
89;Carne asada, grilled beef;Carne asada, grilled beef;19.21;18;3;4
90;Carne guisada, stewed beef in spiced gravy;Carne guisada, stewed beef in spiced gravy;1.04;8;3;4
91;Carne a la tampiqueña;"Carne a la tampiqueña, carne asada that is usually accompanied by a small portion of enchiladas (or chilaquiles), refried beans, fresh cheese, guacamole, and a vegetable (often rajas; grilled slices of Poblano peppers).";4.93;17;3;4
92;Cecina;Cecina – In Mexico, most cecina is of two kinds: sheets of marinated beef, and a pork cut that is pounded thin and coated with chili pepper (this type is called cecina enchilada or carne enchilada).;10.95;18;3;4
93;Milanesas;Milanesas – Chicken, beef, and a pork breaded fried bisteces.;10.48;18;3;4
94;Cabrito;Cabrito;18.39;12;3;4
95;Calabacitas con puerco;Calabacitas con puerco;18.23;0;3;4
96;Carnitas;Carnitas;14.7;12;3;4
97;Chilorio;Chilorio;5.08;16;3;4
98;Chorizo;Chorizo;6.52;8;3;4
99;Cochinita pibil;Cochinita pibil;19.18;19;3;4
100;Poc Chuc;Poc Chuc;14.55;16;3;4
101;Pollo asado;Pollo asado;16.62;12;3;5
102;Pollo Encacahuatado;Pollo Encacahuatado;10.45;9;3;5
103;Pollo motuleños;Pollo motuleños;15.18;10;3;5
104;Pollo picado;Pollo picado;16.78;11;3;5
105;Pollo rostizado;Pollo rostizado;8.52;19;3;5
106;Ancas de Rana;Ancas de Rana;12.96;14;3;5
107;Barbacoa;Barbacoa;10.5;18;3;5
108;Birria;Birria – a spicy stew from the state of Jalisco traditionally made from goat meat or mutton;1.53;14;3;5
109;Pastel azteca;Pastel azteca;11.92;7;3;5
110;Puntas;Puntas;8.16;17;3;5
111;Queso de Puerco;Queso de Puerco, head cheese prepared with vinegar, garlic, oregano and black pepper, among others.;15.69;11;3;5
112;Barbacoa;Barbacoa;3.24;8;3;5
113;Chapulines;Chapulines – toasted grasshoppers;13.74;6;3;5
114;Puntas;Puntas;10.2;6;3;5
115;Chamoy;Chamoy;19.15;16;3;6
116;Guacamole;Guacamole;12.61;14;3;6
117;Mole blanco;Mole blanco;7.18;8;3;6
118;Mole sauce;Mole sauce;12.35;16;3;6
119;Mole verde;Mole verde;9.54;13;3;6
120;Pipian – green or red, meat, pork;Pipian – green or red, meat, pork;5.35;14;3;6
121;Salsa;Salsa;1.31;3;3;6
122;Salsa chipotle;Salsa chipotle;11.87;9;3;6
123;Salsa verde;Salsa verde;2.84;17;3;6
124;Guacamole with tortilla chips;Guacamole with tortilla chips;16.88;18;3;6
125;Habanero, chipotle and chimichurrisalsas;Habanero, chipotle and chimichurrisalsas;16.12;3;3;6
126;Arroz a la tumbada (rice with seafood);Arroz a la tumbada (rice with seafood);9.66;3;3;7
127;Arroz amarillo (yellow rice);Arroz amarillo (yellow rice);0.5;9;3;7
128;Arroz con camarones (rice with shrimp);Arroz con camarones (rice with shrimp);2.17;6;3;7
129;Arroz con huevo (rice with eggs);Arroz con huevo (rice with eggs);3.87;17;3;7
130;Arroz con leche;Arroz con leche;16.43;7;3;7
131;Arroz con lima (rice with lemon);Arroz con lima (rice with lemon);15.4;17;3;7
132;Arroz con pollo (rice with chicken);Arroz con pollo (rice with chicken);12.81;9;3;7
133;Arroz negro (black rice);Arroz negro (black rice);18.14;1;3;7
134;Arroz poblano;Arroz poblano;9.87;6;3;7
135;Arroz rojo (red rice);Arroz rojo (red rice);9.01;2;3;7
136;Arroz verde (green rice);Arroz verde (green rice);16.35;18;3;7
137;Morisqueta;Morisqueta;11.66;15;3;7
138;Seafood dishes[edit];Seafood dishes[edit];16.86;2;3;7
139;Aguachile;Aguachile;18.06;12;3;7
140;Camarones al Mojo de Ajo;Camarones al Mojo de Ajo;7.8;7;3;7
141;Huachinango a la Veracruzana;Huachinango a la Veracruzana(Veracruz-Style Red Snapper);6.19;11;3;7
142;Pescado zarandeado;Pescado zarandeado;10.11;11;3;7
143;Birria;Birria;8.12;5;3;8
144;caldo de pollo, chicken soup;caldo de pollo, chicken soup;9.37;7;3;8
145;caldo de res, beef soup;caldo de res, beef soup;16.5;10;3;8
146;caldo de queso, cheese soup;caldo de queso, cheese soup;7.6;7;3;8
147;caldo de camaron shrimp soup;caldo de camaron shrimp soup, typically made from dried shrimp;3.8;8;3;8
148;carne en su jugo;carne en su jugo, meat and beans in a meat broth;18.89;5;3;8
149;caldo de mariscos, seafood soup;caldo de mariscos, seafood soup;4.52;11;3;8
150;caldo tlalpeño;caldo tlalpeño, chicken, broth, chopped avocado, chile chipotle and fried tortilla strips or triangles;17.97;1;3;8
151;Chilpachole de jaiba;Chilpachole de jaiba;4.63;7;3;8
152;Fideos (noodles);Fideos (noodles);15.68;13;3;8
153;Menudo;Menudo;14.31;0;3;8
154;Pozole;Pozole;10.34;6;3;8
155;Sopa;Sopa, typically pasta flavored with meat or tomato consomme;7.61;4;3;8
156;Sopa Azteca;Sopa Azteca;7.93;2;3;8
157;Sopa de fideo;Sopa de fideo;17.79;11;3;8
158;Sopa de lima, from Yucatán;Sopa de lima, from Yucatán;6.03;9;3;8
159;Sopa de nueces, walnut soup;Sopa de nueces, walnut soup;1.35;15;3;8
160;Sopa de pescado siete mares;Sopa de pescado siete mares, a seven-fished bouillabaisse popular in the Gulf of California and Pacific areas;1.27;12;3;8
161;Sopa de pollo (chicken soup);Sopa de pollo (chicken soup);3.24;18;3;8
162;Sopa de tortilla (tortilla soup);Sopa de tortilla (tortilla soup);14.19;5;3;8
163;Sopa tarasca;Sopa tarasca;16.01;13;3;8
164;Chile relleno;Chile relleno;6.77;16;3;9
165;Chiles en nogada;Chiles en nogada;14.52;17;3;9
166;Cuitlacoche;Cuitlacoche, a fungus that grows on corn plants, often served in soups;7.14;4;3;9
167;Frijoles;Frijoles;17.93;12;3;9
168;Frijoles pintos (pinto beans);Frijoles pintos (pinto beans);15.23;9;3;9
169;Frijoles negros (black beans);Frijoles negros (black beans);18.34;14;3;9
170;Frijoles charros;Frijoles charros;8.45;0;3;9
171;Frijoles refritos (refried beans);Frijoles refritos (refried beans);13.86;14;3;9
172;Nopalitos;Nopalitos;8.32;0;3;9
173;Papas (potatoes);Papas (potatoes);4.08;13;3;9
174;Pico de gallo;Pico de gallo;5.82;9;3;9
175;Alegrías;Alegrías;16.84;11;3;10
176;Alfajor;Alfajor;11.07;6;3;10
177;Amaranto;Amaranto;6.3;8;3;10
178;Arroz con leche, rice pudding;Arroz con leche, rice pudding;0.87;14;3;10
179;Bionico, a type of fruit salad with cream;Bionico, a type of fruit salad with cream;10.03;12;3;10
180;Buñuelos;Buñuelos;6.42;14;3;10
181;Cajeta;Cajeta;0.23;13;3;10
182;Calavera;Calavera;7.31;15;3;10
183;Capirotada;Capirotada;2.27;10;3;10
184;Carlota de limón;Carlota de limón;4.63;6;3;10
185;Champurrado;Champurrado;9.17;5;3;10
186;Chongos zamoranos;Chongos zamoranos, a milk candy named for its place of origin, Zamora, Michoacán.;11.82;9;3;10
187;Chocolate;Chocolate;7.28;3;3;10
188;Churros;Churros;2.45;7;3;10
189;Cocadas;Cocadas;7.77;15;3;10
190;Cochinito de Piloncillo;Cochinito de Piloncillo;9.33;11;3;10
191;Coyotas;Coyotas;4.17;13;3;10
192;Crepas de cajeta;Crepas de cajeta;4.29;18;3;10
193;Dulce de leche;Dulce de leche;1.91;19;3;10
194;Empanadas;Empanadas;2.21;12;3;10
195;Flan;Flan;10.23;19;3;10
196;Fresas con crema;Fresas con crema;5.86;14;3;10
197;Gelatina;Gelatina;8.24;6;3;10
198;Glorias;Glorias;12.07;3;3;10
199;Gorditas de azucar;Gorditas de azucar;0.31;10;3;10
200;Ice cream (nieves and helados);Ice cream (nieves and helados). Pancho Villa was noted as a devotee of ice cream.;18.96;6;3;10
201;Fried ice cream;Fried ice cream;4.03;17;3;10
202;Jamoncillos;Jamoncillos;9.57;15;3;10
203;Jarritos;Jarritos (spicy tamarindo candy in a tiny pot), as well as a brand of soda;11.75;17;3;10
204;Macarrones de dulce de leche;Macarrones de dulce de leche;4.3;9;3;10
205;Mazapán de Cacahuate;Mazapán de Cacahuate;8.76;2;3;10
206;Nicuatole;Nicuatole;2.46;6;3;10
207;Obleas;Obleas;8.15;13;3;10
208;Paletas, popsicles (or ice lollies);Paletas, popsicles (or ice lollies), the street popsicle vendor is a noted fixture of Mexico's urban landscape.;12.78;5;3;10
209;Pan de Acambaro (Acambaro bread);Pan de Acambaro (Acambaro bread), named for its town of origin, Acambaro, Guanajuato.;2;5;3;10
210;Pan de muerto;Pan de muerto, sugar covered pieces of bread traditionally eaten at the Día de muertos festivity.;6.6;10;3;10
211;Pan de nata;Pan de nata;4.22;1;3;10
212;Pan dulce;Pan dulce, sweet pastries in many shapes and sizes that are very popular for breakfast.;18.53;1;3;10
213;Pastel de queso, cheesecake;Pastel de queso, cheesecake;3.49;11;3;10
214;Pastel de tres leches (Three Milk Cake);Pastel de tres leches (Three Milk Cake);16.82;15;3;10
215;Pepitorias;Pepitorias;8.47;9;3;10
216;Platano;Platano;13.93;14;3;10
217;Plátano frito;Plátano frito;4.66;15;3;10
218;Polvorón;Polvorón;13.94;18;3;10
219;Rosca de reyes;Rosca de reyes;2.49;8;3;10
220;Tacuarines, Biscochos, or Coricos;Tacuarines, Biscochos, or Coricos;8.23;0;3;10
221;Aguas frescas;Aguas frescas;17.57;1;3;11
222;Atole;Atole;13.69;7;3;11
223;Café de olla, coffee with cinnamon;Café de olla, coffee with cinnamon;15.16;6;3;11
224;Chamoyada;Chamoyada;0.94;4;3;11
225;Champurrado;Champurrado;8.59;11;3;11
226;Chia Fresca;Chia Fresca;12.44;15;3;11
227;Chocolate;Chocolate, generally known better as a drink rather than a candy or sweet;1.11;1;3;11
228;Horchata;Horchata;16.14;17;3;11
229;Jamaica (drink);Jamaica (drink);6.98;14;3;11
230;Jarritos (drink);Jarritos (drink);17.46;13;3;11
231;Jugos frescos;Jugos frescos;9.63;6;3;11
232;Lechuguilla;Lechuguilla;14.8;6;3;11
233;Licuado;Licuado, a drink that includes banana, chocolate, and sugar;5.78;9;3;11
234;Mangonada;Mangonada;6.16;6;3;11
235;Mexican Coke;Mexican Coke;15.82;1;3;11
236;Mexican tea culture;Mexican tea culture;11.62;12;3;11
237;Pópo;Pópo;7.47;1;3;11
238;Pozol;Pozol;18.19;17;3;11
239;Tamarindo;Tamarindo;4.16;14;3;11
240;Tejate;Tejate;2.65;7;3;11
241;Bacanora;Bacanora;14.86;12;17;12
242;Cerveza, Mexican beers such as Sol and Corona;Cerveza, Mexican beers such as Sol and Corona;2.3;0;17;12
243;Colonche;Colonche;11.33;11;17;12
244;Mexican wine;Mexican wine;17.48;17;17;12
245;Mezcal;Mezcal;10.8;15;17;12
246;Michelada;Michelada;7.74;6;17;12
247;Pulque, a popular drink of the Aztecs;Pulque, a popular drink of the Aztecs;11.46;4;17;12
248;Sotol;Sotol;13.01;16;17;12
249;Tejuino;Tejuino;10.85;8;17;12
250;Tepache;Tepache;19.4;13;17;12
251;Tequila;Tequila;7.92;10;17;12
252;Tubâ;Tubâ;8.11;14;17;12
